order_line_id,order_code,product_code,quantity,unit_price,discount_percent,discount_amount,line_total
1,DH000001,SKU-TEE-1115,2,227000.0,0.0,0.0,454000.0
2,DH000001,SKU-DIR-1044,1,443000.0,0.0,0.0,443000.0
3,DH000002,SKU-BAD-1074,2,487000.0,0.0,0.0,974000.0
4,DH000002,SKU-DIR-1014,2,715000.0,0.0,0.0,1430000.0
5,DH000003,SKU-TEE-1027,2,339000.0,0.0,0.0,678000.0
6,DH000003,SKU-THE-1068,2,496000.0,0.0,0.0,992000.0
7,DH000003,SKU-TEE-1107,1,179000.0,0.0,0.0,179000.0
8,DH000004,SKU-BAD-1058,2,430000.0,0.0,0.0,860000.0
9,DH000004,SKU-NOW-1100,2,229000.0,0.0,0.0,458000.0
10,DH000004,SKU-NOW-1025,1,438000.0,0.0,0.0,438000.0
11,DH000005,SKU-DIR-1006,1,416000.0,0.0,0.0,416000.0
12,DH000005,SKU-DIR-1028,2,536000.0,0.0,0.0,1072000.0
13,DH000006,SKU-COO-1086,2,365000.0,0.0,0.0,730000.0
14,DH000007,SKU-DIR-1106,2,353000.0,0.0,0.0,706000.0
15,DH000007,SKU-DIR-1007,1,631000.0,0.0,0.0,631000.0
16,DH000007,SKU-DIR-1065,2,426000.0,0.0,0.0,852000.0
17,DH000008,SKU-BAD-1058,1,430000.0,0.0,0.0,430000.0
18,DH000008,SKU-COO-1033,2,281000.0,0.0,0.0,562000.0
19,DH000008,SKU-THE-1075,2,503000.0,0.0,0.0,1006000.0
20,DH000009,SKU-DKM-1038,2,228000.0,0.0,0.0,456000.0
21,DH000009,SKU-TEE-1107,1,179000.0,0.0,0.0,179000.0
22,DH000009,SKU-TSU-1071,2,610000.0,0.0,0.0,1220000.0
23,DH000010,SKU-NOW-1050,1,245000.0,0.0,0.0,245000.0
24,DH000010,SKU-DIR-1082,1,382000.0,0.0,0.0,382000.0
25,DH000010,SKU-NOW-1073,2,216000.0,0.0,0.0,432000.0
26,DH000011,SKU-SWE-1114,1,615000.0,0.0,0.0,615000.0
27,DH000011,SKU-TEE-1040,1,172000.0,0.0,0.0,172000.0
28,DH000011,SKU-NOW-1073,1,216000.0,0.0,0.0,216000.0
29,DH000012,SKU-NOW-1100,2,229000.0,0.0,0.0,458000.0
30,DH000012,SKU-SWE-1019,2,423000.0,0.0,0.0,846000.0
31,DH000013,SKU-BAD-1090,2,475000.0,0.0,0.0,950000.0
32,DH000013,SKU-TEE-1003,1,244000.0,0.0,0.0,244000.0
33,DH000013,SKU-TSU-1072,2,352000.0,0.0,0.0,704000.0
34,DH000014,SKU-COO-1083,2,284000.0,0.0,0.0,568000.0
35,DH000015,SKU-DIR-1093,1,544000.0,0.0,0.0,544000.0
36,DH000015,SKU-TSU-1030,2,306000.0,0.0,0.0,612000.0
37,DH000015,SKU-TSU-1067,2,608000.0,0.0,0.0,1216000.0
38,DH000016,SKU-TEE-1115,1,227000.0,0.0,0.0,227000.0
39,DH000016,SKU-TSU-1072,2,352000.0,0.0,0.0,704000.0
40,DH000016,SKU-BAD-1097,1,438000.0,0.0,0.0,438000.0
41,DH000017,SKU-TEE-1116,2,270000.0,0.0,0.0,540000.0
42,DH000018,SKU-THE-1076,2,352000.0,0.0,0.0,704000.0
43,DH000018,SKU-NOW-1098,1,393000.0,0.0,0.0,393000.0
44,DH000019,SKU-TEE-1049,2,226000.0,0.0,0.0,452000.0
45,DH000019,SKU-BAD-1074,1,487000.0,0.0,0.0,487000.0
46,DH000019,SKU-DKM-1045,1,524000.0,0.0,0.0,524000.0
47,DH000020,SKU-BAD-1087,1,731000.0,0.0,0.0,731000.0
48,DH000021,SKU-COO-1033,1,281000.0,0.0,0.0,281000.0
49,DH000022,SKU-THE-1076,2,352000.0,0.0,0.0,704000.0
50,DH000023,SKU-TEE-1107,1,179000.0,0.0,0.0,179000.0
51,DH000024,SKU-COO-1086,2,365000.0,0.0,0.0,730000.0
52,DH000025,SKU-DIR-1008,1,432000.0,0.0,0.0,432000.0
53,DH000026,SKU-COO-1086,1,365000.0,0.0,0.0,365000.0
54,DH000027,SKU-NOW-1009,2,277000.0,0.0,0.0,554000.0
55,DH000028,SKU-DKM-1038,1,228000.0,0.0,0.0,228000.0
56,DH000029,SKU-BAD-1111,1,611000.0,0.0,0.0,611000.0
57,DH000030,SKU-SWE-1019,2,423000.0,0.0,0.0,846000.0
58,DH000030,SKU-DIR-1007,1,631000.0,0.0,0.0,631000.0
59,DH000030,SKU-NOW-1094,2,308000.0,0.0,0.0,616000.0
60,DH000031,SKU-BAD-1057,2,664000.0,0.0,0.0,1328000.0
61,DH000031,SKU-SWE-1077,2,418000.0,0.0,0.0,836000.0
62,DH000032,SKU-DIR-1093,2,544000.0,0.0,0.0,1088000.0
63,DH000033,SKU-TEE-1003,1,244000.0,0.0,0.0,244000.0
64,DH000033,SKU-TSU-1072,2,352000.0,0.0,0.0,704000.0
65,DH000034,SKU-COO-1021,1,112000.0,0.0,0.0,112000.0
66,DH000035,SKU-NOW-1025,1,438000.0,0.0,0.0,438000.0
67,DH000036,SKU-DIR-1120,2,510000.0,0.0,0.0,1020000.0
68,DH000037,SKU-THE-1118,1,434000.0,0.0,0.0,434000.0
69,DH000037,SKU-NOW-1052,2,425000.0,0.0,0.0,850000.0
70,DH000038,SKU-DIR-1109,1,341000.0,0.0,0.0,341000.0
71,DH000039,SKU-TEE-1049,1,226000.0,0.0,0.0,226000.0
72,DH000040,SKU-COO-1086,2,365000.0,0.0,0.0,730000.0
73,DH000040,SKU-COO-1041,2,371000.0,0.0,0.0,742000.0
74,DH000040,SKU-COO-1017,2,85000.0,0.0,0.0,170000.0
75,DH000041,SKU-TEE-1010,2,240000.0,0.0,0.0,480000.0
76,DH000041,SKU-TEE-1115,2,227000.0,0.0,0.0,454000.0
77,DH000042,SKU-SWE-1042,2,535000.0,0.0,0.0,1070000.0
78,DH000042,SKU-DIR-1007,2,631000.0,0.0,0.0,1262000.0
79,DH000042,SKU-SWE-1019,1,423000.0,0.0,0.0,423000.0
80,DH000043,SKU-TEE-1031,2,290000.0,0.0,0.0,580000.0
81,DH000044,SKU-DKM-1061,1,205000.0,0.0,0.0,205000.0
82,DH000044,SKU-BAD-1069,1,415000.0,0.0,0.0,415000.0
83,DH000045,SKU-TEE-1066,1,230000.0,0.0,0.0,230000.0
84,DH000045,SKU-TEE-1022,1,252000.0,0.0,0.0,252000.0
85,DH000045,SKU-THE-1118,1,434000.0,0.0,0.0,434000.0
86,DH000046,SKU-BAD-1069,1,415000.0,0.0,0.0,415000.0
87,DH000046,SKU-DIR-1106,1,353000.0,0.0,0.0,353000.0
88,DH000046,SKU-SWE-1024,2,753000.0,0.0,0.0,1506000.0
89,DH000047,SKU-TEE-1107,2,179000.0,0.0,0.0,358000.0
90,DH000047,SKU-THE-1063,1,472000.0,0.0,0.0,472000.0
91,DH000047,SKU-SWE-1101,2,757000.0,0.0,0.0,1514000.0
92,DH000048,SKU-BAD-1023,2,751000.0,0.0,0.0,1502000.0
93,DH000048,SKU-SWE-1070,2,718000.0,0.0,0.0,1436000.0
94,DH000048,SKU-TEE-1088,1,274000.0,0.0,0.0,274000.0
95,DH000049,SKU-TEE-1003,2,244000.0,0.0,0.0,488000.0
96,DH000049,SKU-BAD-1064,2,515000.0,0.0,0.0,1030000.0
97,DH000049,SKU-SWE-1101,1,757000.0,0.0,0.0,757000.0
98,DH000050,SKU-BAD-1111,1,611000.0,0.0,0.0,611000.0
99,DH000050,SKU-BAD-1064,2,515000.0,0.0,0.0,1030000.0
100,DH000051,SKU-DIR-1047,1,320000.0,0.0,0.0,320000.0
101,DH000052,SKU-DIR-1108,1,400000.0,0.0,0.0,400000.0
102,DH000052,SKU-TEE-1022,2,252000.0,0.0,0.0,504000.0
103,DH000052,SKU-SWE-1024,2,753000.0,0.0,0.0,1506000.0
104,DH000053,SKU-TEE-1112,1,339000.0,0.0,0.0,339000.0
105,DH000053,SKU-NOW-1085,2,210000.0,0.0,0.0,420000.0
106,DH000053,SKU-DIR-1047,2,320000.0,0.0,0.0,640000.0
107,DH000054,SKU-TEE-1020,1,190000.0,0.0,0.0,190000.0
108,DH000054,SKU-NOW-1094,1,308000.0,0.0,0.0,308000.0
109,DH000054,SKU-TEE-1010,1,240000.0,0.0,0.0,240000.0
110,DH000055,SKU-DIR-1006,2,416000.0,0.0,0.0,832000.0
